Site,Easting,Northing,Elevation,WGS 84,Lat,Lon ,,,https://awsm-tools.com/geo/utm-to-geographic
A1,243518,6603772,624,19J,30.671259S ,71.677019W ,,,
A2,243520,6603783,616,19J,30.671161S ,71.676995W ,,,
A3,243520,6603789,622,19J,30.671106S ,71.676993W ,,,
A4,243516,6603803,614,19J,30.670979S,71.677032W ,,,
A5,243519,6603814,609,19J,30.670881S ,71.676998W ,,,
A6,243530,6603814,609,19J,30.670883S,71.676883W ,,,
A7,243520,6603811,656,19J,30.670908S ,71.676988W ,,,
A8,243527,6603805,638,19J,30.670964S ,71.676916W ,,,
A9,243525,6603803,624,19J,30.670981S ,71.676938W ,,,
A10,243545,6603792,614,19J,30.671085S ,71.676732W ,,,
B1,243555,6603937,640,19J,30.669780S ,71.676592W ,,,
B2,243554,6603955,636,19J,30.669617S ,71.676598W ,,,
B3,243557,6603962,636,19J,30.669555S ,71.676565W ,,,
B4,243547,6603980,641,19J,30.669391S ,71.676664W ,,,
B5,243540,6603979,641,19J,30.669398S ,71.676738W ,,,
B6,243558,6603975,676,19J,30.669438S ,71.676551W ,,,
C1,242918,6604652,595,19J,30.663198S ,71.683056W ,,,
C2,242919,6604659,600,19J,30.663135S ,71.683044W ,,,
C3,242913,6604679,594,19J,30.662954S ,71.683101W ,,,
C4,242923,6604687,561,19J,30.662884S ,71.682995W ,,,
C5,242909,6604688,586,19J,30.662872S ,71.683141W ,,,
C6,242924,6604696,599,19J,30.662803S  ,71.682982W ,,,
C7,242932,6604691,606,19J,30.662850S ,71.682900W ,,,
C8,242927,6604682,615,19J,,,,,
C9,242945,6604675,530,19J,,,,,
C10,242936,6604661,574,19J,,,,,
D1,242845,6604544,537,19J,,,,,
D2,242851,6604543,538,19J,,,,,
D3,242852,6604552,540,19J,,,,,
D4,242845,6604550,557,19J,,,,,
D5,242839,6604552,556,19J,,,,,
D6,242838,6604548,536,19J,,,,,
D7,242834,6604546,536,19J,,,,,
D8,242848,6604548,535,19J,,,,,
D9,242830,6604546,526,19J,,,,,
D10,242848,6604541,574,19J,,,,,
E1,243098,6604689,552,19J,,,,,
E2,243108,6604688,551,19J,,,,,
E3,243116,6604689,550,19J,,,,,
E4,243122,6604690,555,19J,,,,,
E5,243139,6604693,547,19J,,,,,
E6,243151,6604675,536,19J,,,,,
E7,243116,6604673,552,19J,,,,,
E8,243128,6604676,543,19J,,,,,
E9,243129,6604669,545,19J,,,,,
E10,243135,6604665,546,19J,,,,,
F1,243319,6604664,516,19J,,,,,
F2,243321,6604673,513,19J,,,,,
F3,243327,6604676,510,19J,,,,,
F4,243326,6604675,522,19J,,,,,
F5,243326,6604672,520,19J,,,,,
F6,243328,6604661,506,19J,,,,,
F7,243334,6604666,519,19J,,,,,
F8,243338,6604673,509,19J,,,,,
F9,243349,6604670,519,19J,,,,,
F10,243344,6604667,519,19J,,,,,
G1,243345,6604767,528,19J,,,,,
G2,243350,6604774,534,19J,,,,,
G3,243337,6604785,522,19J,,,,,
G4,243335,6604789,522,19J,,,,,
G5,243332,6604778,514,19J,,,,,
G6,243339,6604764,501,19J,,,,,
G7,243321,6604770,520,19J,,,,,
G8,243317,6604779,519,19J,,,,,
G9,243308,6604783,515,19J,,,,,
G10,243302,6604781,499,19J,,,,,
H1,243405,6604284,592,19J,,,,,
H2,243403,6604307,598,19J,,,,,
H3,243394,6604300,583,19J,,,,,
H4,243394,6604315,570,19J,,,,,
H5,243388,6604312,582,19J,,,,,
H6,243383,6604321,576,19J,,,,,
H7,243375,6604321,580,19J,,,,,
H8,243370,6604332,587,19J,,,,,
H9,243375,6604332,566,19J,,,,,
H10,243372,6604345,576,19J,,,,,
I1,243291,6604310,51,19J,,,,,
I2,243274,6604320,568,19J,,,,,
I3,243264,6604316,551,19J,,,,,
I4,243256,6604316,548,19J,,,,,
I5,243252,6604325,556,19J,,,,,
I6,243242,6604328,550,19J,,,,,
I7,243236,6604332,547,19J,,,,,
I8,243237,6604332,555,19J,,,,,
I9,243226,6604335,553,19J,,,,,
I10,243219,6604327,558,19J,,,,,
J1,243363,6604583,532,19J,,,,,
J2,243366,6604587,544,19J,,,,,
J3,243382,6604581,548,19J,,,,,
J4,243390,6604579,547,19J,,,,,
J5,243407,6604580,553,19J,,,,,
J6,243398,6604564,562,19J,,,,,
J7,243417,6604599,562,19J,,,,,
J8,243424,6604598,568,19J,,,,,
J9,243419,6604595,579,19J,,,,,
J10,243415,6604572,569,19J,,,,,
K1,243419,6604678,545,19J,,,,,
K2,243415,6604679,548,19J,,,,,
K3,243402,6604675,544,19J,,,,,
K4,243394,6604686,559,19J,,,,,
K5,243388,6604679,539,19J,,,,,
K6,243383,6604681,536,19J,,,,,
K7,243372,6604690,543,19J,,,,,
K8,243371,6604689,530,19J,,,,,
K9,243376,6604701,541,19J,,,,,
K10,243382,6604711,543,19J,,,,,
L1,243324,6604849,507,19J,,,,,
L2,243317,6604843,505,19J,,,,,
L3,243311,6604854,515,19J,,,,,
L4,243304,6604848,502,19J,,,,,
L5,243289,6604855,501,19J,,,,,
L6,243291,6604865,501,19J,,,,,
L7,243284,6604870,505,19J,,,,,
L8,243277,6604869,501,19J,,,,,
L9,243284,6604873,500,19J,,,,,
L10,243290,6604881,505,19J,,,,,
M1,243257,6605089,533,19J,,,,,
M2,243247,6605084,501,19J,,,,,
M3,243247,6605090,506,19J,,,,,
M4,243247,6605112,502,19J,,,,,
M5,243226,6605114,500,19J,,,,,
M6,243217,6605133,512,19J,,,,,
M7,243192,6605150,486,19J,,,,,
M8,243204,6605162,510,19J,,,,,
M9,243208,6605178,509,19J,,,,,
M10,243194,6605187,502,19J,,,,,
N1,242787,6607273,611,19J,,,,,
N2,242786,6607279,615,19J,,,,,
N3,242781,6607290,621,19J,,,,,
N4,242777,6607286,619,19J,,,,,
N5,242774,6607276,631,19J,,,,,
N6,242766,6607282,620,19J,,,,,
N7,242768,6607274,581,19J,,,,,
N8,242760,6607262,614,19J,,,,,
N9,242759,6607274,597,19J,,,,,
N10,242745,6607280,612,19J,,,,,
O1,242570,6606862,605,19J,,,,,
O2,242577,6606847,578,19J,,,,,
O3,242562,6606841,567,19J,,,,,
O4,242564,6606850,579,19J,,,,,
O5,242551,6606858,575,19J,,,,,
O6,242535,6606861,588,19J,,,,,
O7,242525,6606856,585,19J,,,,,
O8,242528,6606844,560,19J,,,,,
O9,242543,6606846,569,19J,,,,,
O10,242554,6606845,562,19J,,,,,
P1,242867,6606094,545,19J,,,,,
P2,242863,6606103,547,19J,,,,,
P3,242851,6606100,546,19J,,,,,
P4,242850,6606091,535,19J,,,,,
P5,242846,6606095,549,19J,,,,,
P6,242842,6606093,545,19J,,,,,
P7,242827,6606110,541,19J,,,,,
P8,242805,6606107,566,19J,,,,,
P9,242783,6606103,540,19J,,,,,
P10,242790,6606082,535,19J,,,,,
Q1,243012,6606061,550,19J,,,,,
Q2,243014,6606063,540,19J,,,,,
Q3,242999,6606073,550,19J,,,,,
Q4,242997,6606073,546,19J,,,,,
Q5,242997,6606085,546,19J,,,,,
Q6,243004,6606085,546,19J,,,,,
Q7,242990,6606077,550,19J,,,,,
Q8,242987,6606080,553,19J,,,,,
Q9,242983,6606087,551,19J,,,,,
Q10,242981,6606089,551,19J,,,,,
R1,242949,6605531,517,19J,,,,,
R2,242944,6605537,521,19J,,,,,
R3,242937,6605554,512,19J,,,,,
R4,242928,6605557,507,19J,,,,,
R5,242959,6605542,519,19J,,,,,
R6,242964,6605540,521,19J,,,,,
R7,242961,6605552,522,19J,,,,,
R8,242963,6605562,535,19J,,,,,
R9,242963,6605574,525,19J,,,,,
R10,242935,6605583,530,19J,,,,,
S1,242447,6605550,471,19J,,,,,
S2,242436,6605550,467,19J,,,,,
S3,242446,6605527,456,19J,,,,,
S5,242459,6605518,467,19J,,,,,
S6,242480,6605517,480,19J,,,,,
S7,242499,6605510,471,19J,,,,,
S8,242490,6605502,468,19J,,,,,
S9,242516,6605510,469,19J,,,,,
S10,242525,6605498,476,19J,,,,,
T1,242719,6604964,556,19J,,,,,
T2,242713,6604974,573,19J,,,,,
T3,242734,6604967,559,19J,,,,,
T4,242739,6604971,558,19J,,,,,
T5,242747,6604967,561,19J,,,,,
T6,242740,6604959,562,19J,,,,,
T7,242759,6604963,561,19J,,,,,
T8,242764,6604951,565,19J,,,,,
T9,242762,6604942,562,19J,,,,,
T10,242744,6604944,550,19J,,,,,
